row,tid,title,artist
28608,TRFXJRT128F934324D,Nathalie,Julio Iglesias
33068,TRLJRUT128F4261CCA,Soul Provider,Michael Bolton
9379,TRJVZFI128F92E6CEC,Por Amarte,Enrique Iglesias
17226,TRMRYXN128F4255D2A,Wild Rose,Bombay Rockers
10144,TRIBMRB128E0790827,Angie Baby,Helen Reddy
25720,TRNRSAV128F148B117,Lucky,Hoobastank
5872,TRCMNOT128F1492F6B,E...,Vasco Rossi
10411,TRIDIKS128F42BAF36,Music Of The Moon,Martha Tilston
1633,TRMQPDD128F4272A0F,United We Stand,Brotherhood of Man
15173,TROIWFK128F426719D,Love Doesn't Ask Why,Céline Dion
9245,TRJQUKK128F93309CA,Near You Always,Jewel
5002,TRUMXRU128F92F168F,Evergreen,Will Young
5575,TRCIGUQ128F9300796,Lento,Julieta Venegas
39587,TRGECZO12903CF03C6,Una Lacrima Sul Viso,Bobby Solo
1300,TROAYTS128F9334B77,No Basta,Franco De Vita
33476,TRLYWDL128E0793241,You Needed Me,Boyzone
16426,TROTTYH128F42375F3,You've Lost That Lovin' Feelin',The Righteous Brothers
24024,TRBRAIR128F4290F85,Heptarchy,Cephalic Carnage
22272,TRARHIC128F424B27B,When I Fall in Love,Marilyn Monroe
2315,TRBIXNS128F9321DDF,Je Vais Te Chercher,Chimène Badi
15896,TROFTRE128F427B63B,Trains And Boats And Planes,Billy J. Kramer & The Dakotas
32735,TRETRUQ128F9347FC1,Te Vi Venir,Sin Bandera
15105,TROJQDL128F92CA511,Ordinary Day,Ace of Base
31257,TRDTZTE12903CBB9D6,Viola,Lisa Nilsson
33477,TRLYZJI128F4268DE2,This Could Be The Night,Loverboy
6469,TRCFTIM128F932149C,Whenever You Call,Mariah Carey
10246,TRINWJN128F14651C8,A Natural Thing,Earl Klugh
896,TRHDNEK128F9314AAE,You And I,Will Young
44,TRCHTQQ128F42AEE3A,Roses Are Red (My Love),Bobby Vinton
7327,TRCUNLB128E0783EC3,You're Still The One,Shania Twain
465,TRJTXAE128F92E9E66,Because I Love You,Stevie B
37658,TRZXKEZ128F92E7ABF,You And Me Both,Arthur Russell
10014,TRIYEDR128EF3672E6,Stop! Stop! Stop!,Nu Virgos
1947,TRYASGZ128F42645C0,No One,Marc Anthony
8839,TRJWOQB128F9303B58,Juicy Fruit,Mtume
18411,TRMUFXT128F4260092,Por una cabeza,Carlos Gardel
32531,TREPAHB128F92DED10,Rendez-Moi Le Silence,Julie Zenatti
25594,TRNOOXM12903D01ABB,Footprints In The Sand,Leona Lewis
23275,TRAKMUO128F4215890,Si Juras Regresar,Enrique Iglesias
10621,TRIPJWY128F148FF46,Like I Never Loved You At All,Take That
38329,TRZPYOE12903CD4A21,I'm Getting Sentimental Over You,Tommy Dorsey
28301,TRSUQMH128F424CD50,Pare Pare,Tarkan
15669,TROBOQT128F428806B,The Real Thing,Lisa Stansfield
13690,TRXMWFF128F42790E0,Without You,The Feeling
24118,TRBYWDE128F4278B44,月光 (album version),鬼束ちひろ
17439,TRMBRMF128F92E846B,Mon soleil,Princess' Lover
14890,TRXUMZY128F42724C2,Perfect,Jon McLaughlin
46145,TRVNSBJ128F1478F87,Daredevil, baby,Van Hunt
36801,TRWEJDT128F92FB81C,I'll Go On Loving You,Alan Jackson
13427,TRXHJOO12903D0133C,Only You,The Platters
11435,TRHIRMV128F146E71A,A Million Miles Away,Rihanna
30712,TRDSFPL128F4236835,What Are Doing With the Rest of Your Life?,Rick Braun
21359,TRYZANK128F426601E,Love Of A Lifetime,Firehouse
39918,TRGTJGA128F4282A55,Valse mortuary,Eftos
30072,TRDJUIU128F1459362,A Little Bit More,Dr. Hook
7099,TRCTPGJ128F428E60A,Angel,Kirsty MacColl
43933,TRQZAYO128F42AA446,Contact,As Cities Burn
7506,TRJCUEG12903CFE69C,El Talisman,Rosana
16002,TROEBNO128F42AAFB8,Even God,Charlotte Church
43836,TRQPWKL128F92F1EEB,Wish U Were Here,Jamie Foxx
38936,TRGHMTJ128F424697C,On the Morning Dew,Elvenking
38769,TRZVWIE128F4295ED6,Like A Child,Backstreet Boys
23541,TRBCMJL128F932AC63,Spiders,Ashbury Heights
11186,TRIVCBX128F9343191,On The Wings Of Love,Jeffrey Osborne
